threat_condition,source_condition,christian,conservative_political_beliefs_normalized,authoritarian_answers_total,religious_beliefs_total,religious_evaluative_bias_total,threatened,article_quality,article_convinvingness,gender,age,employment,income,education,religious_affiliation,political_party,ethnicity,marital_status,article_comprehension,god_belief,certain_of_god_belief,religious_importance,religious_attendance,prayer_frequency,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,attention_check_1,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,political_beliefs_religious_1,political_beliefs_religious_2,political_beliefs_religious_3,political_beliefs_religious_4,political_beliefs_conservative_5,political_beliefs_conservative_6,political_beliefs_conservative_7,political_beliefs_conservative_8,attention_check_2,political_beliefs_9,political_beliefs_10,political_beliefs_11,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,purpose_guess,guess_certainty,start_time,end_time,total_time
1,1,1,12.62280142,3,25,15,1,15,14,1,27,1,11,10,5,3,1,4,1,1,11,5,5,5,4,4,3,4,5,5,3,3,3,3,2,2,2,5,5,4,4,4,4,3,4,2,87,87,70,0,1,1,1,GOOD,5,2018-05-30-19-42,2018-05-30-19-47,5
1,1,1,-10.29813978,1,18,26,1,3,1,2,28,1,1,9,6,2,1,1,2,1,13,2,1,4,3,3,4,2,4,2,3,2,1,5,4,4,4,2,1,1,1,1,3,2,1,2,10,1,19,0,1,0,0,How religious people think about the social problems in the US,4,2018-06-21-17-51,2018-06-21-18-04,13
1,2,1,13.9189925,2,24,6,2,16,14,1,28,1,5,8,5,1,4,1,1,1,14,5,3,4,5,5,5,1,5,3,3,5,5,1,1,1,1,5,5,5,5,5,4,2,3,2,86,89,89,1,0,1,0,"I believe the purpose of this study is to see the true feelings of the actual American people, not just the people who have enough money to get on TV. If you are not from money, or have money, or have a position of power, a lot of times our voices are not heard.",2,2018-06-21-21-12,2018-06-21-21-23,11
2,1,1,2.589827124,2,20,19,2,8,5,2,28,2,5,9,5,2,1,4,1,1,14,6,5,4,2,3,4,3,4,4,3,2,3,4,3,3,2,3,2,2,3,3,4,4,3,2,44,61,44,0,1,1,0,study the thinking of people based on their opinions on some issues such as religion and politics~~,4,2018-06-07-18-13,2018-06-07-18-29,16
2,1,1,-0.6052033939,3,26,24,2,16,16,1,28,1,6,9,7,2,1,1,1,1,13,4,2,2,4,4,4,4,5,5,3,1,1,5,3,3,3,3,4,1,3,5,2,1,4,2,25,25,25,1,1,1,0,How religious our country will be in the future and my current religious beliefs.,4,2018-06-11-19-38,2018-06-11-19-47,9
2,2,1,1.380711435,1,27,15,1,13,14,2,28,1,6,9,7,1,1,1,1,1,14,5,6,5,2,5,5,5,5,5,3,2,4,2,3,2,2,4,4,4,4,1,2,1,2,2,65,21,65,0,1,0,0,To see what affect your political views have on parenting choices.,4,2018-05-30-18-16,2018-05-30-18-24,8
1,2,1,-3.631921936,1,21,16,2,10,4,1,28,1,8,10,7,2,6,5,1,1,12,4,1,2,4,3,3,3,4,4,3,2,3,2,2,2,3,1,2,1,3,3,4,2,4,2,10,15,25,1,0,0,0,The purpose of the study might have been to find out whether a person's religious beliefs have an impact on their political views.,2,2018-05-30-16-43,2018-05-30-16-53,10
2,2,1,4.429400136,4,19,20,1,9,14,2,28,1,8,9,5,1,1,1,1,1,11,4,5,5,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,83,47,74,1,1,1,1,good,6,2018-06-21-20-37,2018-06-21-20-43,6
1,2,1,7.904480644,3,23,18,1,12,13,2,28,1,9,9,6,2,4,1,1,1,2,2,5,5,4,4,4,4,4,3,3,3,3,2,3,3,4,3,4,3,4,3,3,3,4,2,80,77,81,1,0,1,1,Survey about the opinion on current event,4,2018-06-09-06-19,2018-06-09-06-27,8
2,1,1,-6.066927319,2,25,21,2,12,14,1,28,1,10,10,5,2,1,1,1,1,12,4,4,5,4,3,5,4,4,5,3,2,2,4,3,3,3,1,2,1,4,3,3,1,2,2,17,7,21,0,1,1,0,Determining thoughts about religious beliefs in relation to political beliefs.,3,2018-06-09-04-24,2018-06-09-04-31,7
2,2,1,7.718080472,3,30,17,1,11,11,1,29,5,3,8,5,1,1,1,1,1,14,4,2,3,5,5,5,5,5,5,3,3,3,4,2,2,3,4,3,2,2,5,3,4,4,2,79,81,80,1,1,0,1,I have no idea.,1,2018-06-09-16-37,2018-06-09-16-47,10
2,1,1,-1.261093098,1,21,27,1,13,16,1,29,2,4,6,6,2,1,3,1,1,7,4,1,4,3,4,4,4,3,3,3,1,1,5,4,4,4,2,4,1,3,2,4,4,3,2,15,16,15,0,1,0,0,I'm not sure. Thanks for the survey though!,2,2018-06-22-03-57,2018-06-22-04-06,9
1,1,1,1.707132857,3,21,22,2,13,13,1,29,1,6,9,6,2,5,5,1,1,1,5,4,2,4,3,4,3,3,4,3,2,2,5,3,3,3,3,3,1,2,4,4,3,4,2,39,43,39,1,0,1,1,I think this study was created to evaluate the opinions of people regarding social issues that affect personal topics including religion. Are liberals more accepting of religion in public settings such as schools?,4,2018-05-29-23-54,2018-05-30-00-07,13
2,2,1,10.81547379,4,27,17,1,14,14,2,29,1,7,10,5,1,1,5,1,1,12,5,5,5,4,4,5,4,5,5,3,2,2,2,2,2,3,3,3,4,4,5,4,4,4,2,92,69,82,1,1,1,1,future purpose,6,2018-06-12-19-03,2018-06-12-19-08,5
1,2,1,14.11529459,1,25,17,1,16,15,2,30,2,4,9,5,1,3,1,1,1,1,1,2,2,4,4,4,5,4,4,3,1,3,2,3,2,2,5,4,5,2,4,4,5,5,2,88,94,90,0,0,1,0,very nice and good,6,2018-05-30-00-46,2018-05-30-00-59,13
1,2,1,9.297040494,3,24,16,1,14,15,1,30,1,5,9,5,2,3,1,1,1,14,6,5,5,5,5,2,3,5,4,3,2,2,2,2,2,2,4,5,5,4,3,3,4,4,2,25,98,44,0,1,1,1,opinions,3,2018-06-09-16-45,2018-06-09-17-03,18
1,2,1,15.73394443,2,28,16,1,13,13,2,30,1,5,9,5,1,3,1,1,1,14,5,5,3,5,4,5,5,4,5,3,2,1,2,2,1,2,4,5,4,5,4,5,5,4,2,90,94,85,1,0,1,0,the study is good,6,2018-06-07-01-34,2018-06-07-01-39,5
1,1,1,-10.51804789,1,20,26,2,9,11,1,30,1,6,9,7,2,1,5,1,1,11,3,1,2,3,3,4,2,4,4,3,1,1,5,4,4,3,1,3,1,1,1,2,1,1,2,9,10,23,0,1,0,0,Studying religiousness and political leanings,3,2018-06-07-18-02,2018-06-07-18-11,9
1,2,1,11.53797152,0,26,16,1,16,16,2,30,1,6,10,5,1,3,5,1,1,3,5,5,3,4,4,4,5,5,4,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,82,76,79,0,0,0,0,To sendace,4,2018-06-12-19-56,2018-06-12-20-06,10
2,2,1,-0.4966166625,3,20,12,1,13,5,2,30,1,6,11,6,1,1,1,2,1,14,6,5,5,1,1,5,3,5,5,3,4,3,1,1,2,3,2,3,1,3,1,1,1,1,2,100,100,100,1,0,1,1,The purpose of this research study is to investigate opinions regarding current events,5,2018-06-03-05-21,2018-06-03-05-37,16
2,1,1,1.511870676,3,30,19,1,12,10,1,30,1,7,9,5,2,1,1,1,1,14,6,3,6,5,5,5,5,5,5,3,1,3,4,3,2,2,4,4,3,3,3,4,4,2,2,14,19,11,0,1,1,1,I believe this study was about perception,5,2018-06-03-05-11,2018-06-03-05-16,5
1,2,1,5.222870982,1,15,24,2,11,12,1,30,1,7,6,5,1,1,1,1,1,10,1,1,1,3,3,2,1,3,3,3,1,1,5,3,2,4,1,4,1,1,5,3,5,5,2,76,31,100,0,1,0,0,not sure,3,2018-05-30-15-56,2018-05-30-16-02,6
1,2,1,1.256675292,3,22,29,2,11,3,1,30,2,7,9,6,3,1,1,1,1,3,1,1,1,4,3,4,3,4,4,3,1,1,5,5,4,5,5,3,1,1,3,2,3,4,2,51,49,53,0,1,1,1,I do not know what this was about.,2,2018-05-30-16-01,2018-05-30-16-07,6
1,2,1,9.873231908,1,25,16,1,15,14,2,30,1,8,10,6,1,1,2,1,1,1,5,5,5,4,4,4,4,4,5,3,2,2,1,2,2,3,4,4,4,3,3,4,4,4,2,80,78,72,0,0,0,1,GOOD,5,2018-06-21-20-09,2018-06-21-20-13,4
1,2,1,8.769550915,1,30,15,2,13,11,2,30,1,10,9,7,3,3,5,1,1,14,6,3,4,5,5,5,5,5,5,3,2,3,3,1,2,2,5,5,2,3,5,4,5,5,2,52,38,15,0,1,0,0,i'm not sure,2,2018-06-21-18-32,2018-06-21-18-38,6
2,1,1,6.861585236,1,22,18,1,14,9,1,30,1,11,10,5,1,1,1,1,1,14,5,5,6,5,5,4,4,1,3,3,2,4,2,4,3,3,3,4,4,3,3,4,4,3,2,51,52,82,1,0,0,0,religious preference,3,2018-06-11-19-34,2018-06-11-19-38,4
1,2,1,9.559667836,3,19,14,2,14,13,2,30,1,11,9,6,1,1,5,1,1,12,3,2,1,3,3,4,4,2,3,3,2,4,2,2,2,2,2,2,4,2,5,4,4,4,2,100,100,100,1,0,1,1,Does religion influence our stance on social issues?,3,2018-06-07-19-09,2018-06-07-19-15,6
2,1,1,3.17352279,2,30,9,1,14,15,2,31,1,4,9,7,3,1,5,1,1,14,6,6,6,5,5,5,5,5,5,3,4,5,1,2,1,2,4,5,5,3,1,1,1,4,2,45,95,20,1,0,1,0,It is studying how much people believe/don't believe in God and how convincing an article is.,4,2018-05-30-15-36,2018-05-30-15-57,21
2,1,1,6.134295704,3,25,20,1,13,11,1,31,1,6,9,5,3,1,1,1,1,14,5,6,5,4,4,4,5,4,4,3,2,2,4,3,3,2,3,4,5,3,4,2,4,4,2,45,48,53,1,0,1,1,I don't know,5,2018-06-03-05-47,2018-06-03-05-53,6
1,2,1,7.855450261,3,30,29,2,13,14,1,31,1,6,8,6,2,1,1,1,1,14,5,3,6,5,5,5,5,5,5,3,1,1,5,4,5,5,2,5,1,5,5,3,2,4,2,70,84,82,1,0,1,1,I think the purpose of this study was to further explore people's opinions of religion in modern day and the connection between their beliefs and children's behaviors.,1,2018-05-30-17-11,2018-05-30-17-19,8
2,2,1,0.4249657606,3,20,22,1,12,4,1,31,1,9,9,5,1,1,1,1,1,12,3,2,2,3,3,4,3,3,4,3,2,2,5,3,3,3,4,2,2,2,4,3,3,4,2,41,1,45,1,1,1,0,Perhaps to measure political views to parenting styles,2,2018-06-08-18-36,2018-06-08-18-47,11
2,1,1,6.263617055,2,24,17,1,13,15,2,31,1,11,10,5,4,1,1,1,1,13,5,5,4,4,4,4,4,4,4,3,1,4,2,2,3,3,4,4,1,2,1,4,5,4,2,100,26,100,0,1,0,1,None Idea,1,2018-06-08-16-57,2018-06-08-17-02,5
2,1,1,2.708058473,2,6,30,2,16,16,2,31,1,12,9,6,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5,3,3,1,3,3,3,5,3,2,50,50,50,0,1,0,1,People's opinions on certain issues.,3,2018-06-08-16-57,2018-06-08-17-03,6
2,1,1,2.210374952,1,26,30,2,16,16,1,32,1,4,6,5,3,1,1,1,1,14,2,1,4,5,3,3,5,5,5,3,1,1,5,5,5,5,3,3,4,3,1,3,3,3,2,53,44,59,0,0,1,0,Im not sure.,2,2018-05-29-20-27,2018-05-29-20-32,5
2,1,1,9.924544688,1,25,21,2,13,13,2,32,1,8,9,5,2,1,4,1,1,9,5,3,5,3,4,3,5,5,5,3,4,2,2,5,3,5,4,5,5,5,3,3,5,4,2,59,79,1,0,0,1,0,I think the purpose of this study is to analyze the correlation between religion and politics.,4,2018-06-21-20-38,2018-06-21-20-41,3
2,1,1,-14.26579538,1,23,30,2,14,16,2,32,1,8,9,6,2,1,5,1,1,12,1,1,2,4,4,4,3,4,4,3,1,1,5,5,5,5,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,To measure people's political beliefs with their religious beliefs and see if there are trends.,2,2018-06-21-20-35,2018-06-21-20-45,10
2,2,1,0.692025834,1,27,18,1,12,14,2,32,1,8,9,5,3,1,1,1,1,14,5,4,6,4,4,5,4,5,5,3,2,2,4,2,2,2,4,4,1,2,1,4,2,2,2,61,30,80,0,1,0,0,Does religious affiliation directly correlate with political and social opinions,4,2018-06-03-05-44,2018-06-03-05-54,10
1,1,1,-8.930777658,2,20,19,2,10,10,1,33,1,4,8,7,3,1,1,1,1,14,4,4,3,1,1,4,4,5,5,3,1,4,3,3,3,3,1,3,1,1,1,1,1,4,2,23,9,13,0,1,1,0,It was seeing if religious people are conservative.,3,2018-06-07-19-44,2018-06-07-19-51,7
1,2,1,-2.610197448,2,28,25,2,14,15,1,33,1,4,9,5,2,5,5,1,1,14,6,4,6,4,4,5,5,5,5,3,1,2,5,4,4,3,1,4,4,4,2,2,1,5,2,3,2,5,1,1,0,0,religion in the futture,2,2018-06-09-04-45,2018-06-09-04-52,7
2,1,1,14.28689717,3,30,13,1,5,15,1,33,5,5,4,5,1,1,1,1,1,14,6,5,6,5,5,5,5,5,5,3,3,5,2,3,1,3,1,5,5,5,5,3,5,4,2,100,100,100,1,0,1,1,I'm not sure,1,2018-06-09-04-29,2018-06-09-04-37,8
2,2,1,6.735724132,2,21,19,1,8,10,2,33,2,5,10,5,2,1,1,1,1,14,4,1,3,4,4,2,4,4,3,3,2,3,2,3,3,4,3,4,3,2,5,3,3,4,2,100,49,59,0,0,1,1,if i believe god or not,3,2018-06-07-19-00,2018-06-07-19-04,4
1,2,1,2.549628974,1,17,18,1,10,12,2,33,2,7,10,6,3,4,1,1,2,4,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,50,50,50,0,1,0,0,opinions regarding religious beliefs.,5,2018-05-30-00-47,2018-05-30-00-55,8
2,1,1,11.08062697,1,29,21,1,16,14,2,34,1,2,9,5,2,1,5,1,1,14,6,6,4,5,4,5,5,5,5,3,5,5,5,5,5,4,4,4,5,5,4,4,5,3,2,53,59,67,0,0,0,1,BELIEF IN GOD,6,2018-06-21-20-31,2018-06-21-20-34,3
2,2,1,6.573655959,3,27,15,1,15,5,1,34,2,6,9,6,1,1,1,1,1,13,5,5,5,5,5,5,5,3,4,3,4,2,2,2,2,3,3,4,4,4,4,3,3,4,2,50,58,48,1,0,1,1,the research may be about belief in religions?,5,2018-06-07-01-34,2018-06-07-01-47,13
2,2,1,5.968879043,3,23,18,2,11,12,2,35,1,2,7,5,2,2,1,1,1,13,5,5,5,4,4,4,3,4,4,3,4,3,4,2,3,4,4,2,3,4,3,4,2,4,2,63,73,70,1,1,0,1,relationship between religion and parenting,4,2018-06-09-17-26,2018-06-09-17-36,10
1,2,1,-11.21990424,1,10,30,1,14,15,2,35,1,4,8,6,2,3,1,1,2,4,2,1,1,1,1,1,1,3,3,3,1,1,5,5,5,5,3,1,1,3,1,1,1,1,2,1,1,1,0,1,0,0,understanding human behavior.,5,2018-06-21-23-40,2018-06-21-23-45,5
1,2,1,-5.75886742,1,26,24,2,6,4,2,35,1,4,9,5,2,1,5,1,1,14,3,3,6,5,1,5,5,5,5,3,1,1,5,3,3,3,1,4,1,1,1,1,1,4,2,35,40,41,0,1,0,0,"Religious, political, and parenting values and perceptions.",4,2018-06-09-06-56,2018-06-09-07-01,5
2,1,1,1.363740768,2,25,24,1,5,3,1,35,5,5,9,6,1,1,1,1,1,13,4,3,2,4,4,4,4,5,4,3,2,2,4,4,4,4,2,3,2,3,5,2,4,3,2,32,30,55,1,0,1,0,May have been with how we preceive the decline in religion in terms of our own religious circumstances,2,2018-06-08-18-46,2018-06-08-18-55,9
1,2,1,2.478865279,1,19,21,2,16,16,1,35,1,6,9,5,3,1,5,1,1,14,3,2,2,4,3,3,3,3,3,3,2,2,4,3,3,3,3,3,2,3,3,3,3,3,2,45,51,71,0,1,0,0,To get religious opinions,3,2018-06-21-18-01,2018-06-21-18-08,7
2,2,1,1.347368545,1,26,19,2,14,13,2,35,1,8,7,5,4,1,1,1,1,12,2,2,1,4,4,4,4,5,5,3,1,2,4,2,2,2,1,4,1,3,2,1,5,3,2,85,20,92,0,1,0,0,How do religious and political ideas relate to each other.,3,2018-06-09-04-50,2018-06-09-04-59,9
2,2,1,-1.927730837,3,22,21,1,7,10,1,36,5,1,9,7,2,1,5,1,1,12,4,4,3,3,2,4,4,4,5,3,2,2,4,3,3,3,1,4,1,2,5,3,3,4,2,9,11,15,1,0,1,1,Understanding politiacl views,2,2018-06-07-18-06,2018-06-07-18-11,5
1,1,1,18.22358535,3,24,21,2,8,4,2,36,2,3,5,5,1,1,5,2,1,14,5,5,5,2,2,5,5,5,5,3,1,1,1,5,1,4,5,5,3,5,5,5,5,5,2,100,100,100,1,0,1,1,not a clue,3,2018-06-09-04-49,2018-06-09-04-54,5
2,1,1,15.24868428,1,30,18,1,14,15,2,36,1,4,5,5,1,1,1,1,1,13,5,3,4,5,5,5,5,5,5,3,2,3,3,2,3,3,5,4,5,5,5,3,5,5,2,85,85,70,0,0,0,1,How I believe and how it related to how I raise my children,2,2018-05-30-15-58,2018-05-30-16-05,7
2,1,1,14.47746872,3,28,15,1,2,2,1,37,1,3,9,7,1,1,1,1,1,14,5,5,5,5,5,4,5,5,4,3,2,4,3,3,2,1,3,4,5,5,3,4,5,5,2,94,91,94,1,0,1,1,Personal opinions on religion and what this encompasses.,3,2018-06-12-20-05,2018-06-12-20-11,6
1,2,1,-6.082569384,0,8,26,2,3,2,2,37,1,10,9,5,2,1,5,1,1,13,1,1,1,1,1,1,1,1,3,3,1,1,5,5,2,4,1,3,1,1,1,1,1,5,2,99,3,5,0,0,0,0,To determine the importance of religion in our lives,5,2018-05-30-00-33,2018-05-30-00-39,6
1,2,1,6.769016111,2,20,14,1,1,16,1,37,1,11,10,6,2,1,1,1,1,14,5,4,6,2,2,4,4,4,4,3,4,5,2,5,2,2,4,3,4,4,4,4,1,4,2,50,52,84,1,0,0,1,all good,5,2018-06-09-06-06,2018-06-09-06-18,12
2,2,1,4.479468022,1,20,22,1,9,9,2,38,1,8,10,7,1,1,5,1,1,13,4,2,1,3,3,3,3,4,4,3,4,2,4,4,4,4,2,2,2,4,2,4,4,2,2,80,77,92,0,1,0,0,To see how religious feelings and political beliefs align.,3,2018-06-09-04-48,2018-06-09-04-55,7
1,1,1,6.094924769,1,30,21,2,11,13,2,39,1,3,6,7,3,5,3,1,1,14,6,2,6,5,5,5,5,5,5,3,2,2,4,3,3,3,2,4,5,4,2,3,3,2,2,77,82,70,0,1,0,0,To gather information on people's religious beliefs.  To find out how these people view different issues and third opinions about them.,3,2018-05-30-16-00,2018-05-30-16-06,6
1,2,1,2.541624619,3,21,15,1,1,1,2,39,1,6,10,5,1,1,1,1,1,14,4,3,3,4,4,4,3,3,3,3,2,3,3,1,2,2,3,4,2,4,2,3,3,3,2,49,48,43,1,0,1,1,this experiment is good,3,2018-06-21-20-36,2018-06-21-20-53,17
1,2,1,8.106470996,2,16,24,2,4,7,2,39,1,11,5,7,1,1,1,1,1,6,1,2,1,3,3,3,2,2,3,3,2,2,4,4,4,4,2,3,2,3,5,4,4,4,2,90,90,70,1,0,1,0,study on how people stand on religious beliefs.,1,2018-06-09-04-57,2018-06-09-05-11,14
2,1,1,11.15094612,1,27,15,1,14,13,1,40,1,9,5,7,1,1,1,1,1,14,5,3,3,5,5,4,3,5,5,3,4,3,3,3,2,2,4,4,5,4,3,4,4,5,2,66,92,43,0,1,0,0,I think it is about a person's beliefs and views.,3,2018-06-21-23-49,2018-06-21-23-55,6
1,2,1,11.3557873,2,23,20,2,13,13,1,41,1,7,5,5,3,1,1,1,1,13,4,3,6,4,3,5,4,4,3,3,2,2,4,3,2,3,3,4,2,5,5,4,4,4,2,80,87,87,1,0,1,0,to see what the vast majority feels about religion and politics.,4,2018-06-02-17-04,2018-06-02-17-14,10
1,1,1,6.104829226,4,24,23,2,12,12,1,41,2,12,10,6,1,1,1,1,1,12,4,3,2,4,4,4,4,4,4,3,1,2,3,4,4,3,4,3,2,4,5,4,3,4,2,55,36,52,1,1,1,1,"How our views on religion, politics,  and parental values translate into a the certain type of individuals we are.",2,2018-06-13-02-19,2018-06-13-02-30,11
2,1,1,3.763127734,3,12,22,1,13,15,1,42,1,5,5,5,3,1,1,1,1,14,2,1,1,1,1,4,4,1,1,3,2,4,5,4,4,3,1,2,5,3,5,2,3,5,2,50,50,50,1,1,1,0,Do we think that our country is going in the wrong direction?,2,2018-06-09-04-24,2018-06-09-04-31,7
1,1,1,9.240268241,3,28,18,2,15,15,1,42,1,6,9,7,2,1,1,1,1,14,5,4,4,4,4,5,5,5,5,3,3,2,4,2,2,3,4,4,2,4,5,4,1,5,2,75,80,80,1,0,1,1,"To understand people's views on different areas and under different circumstances such as politics, education, healthcare, etc.",3,2018-06-03-05-11,2018-06-03-05-24,13
2,2,1,-2.390775801,2,24,24,1,14,15,2,42,1,6,7,5,2,1,1,1,1,13,4,3,2,4,4,4,4,4,4,3,2,2,4,4,4,4,2,4,1,3,2,3,2,4,2,15,22,21,0,1,0,1,Do we believe there is a god Is there life after death,3,2018-06-21-23-41,2018-06-21-23-45,4
1,2,1,13.98942788,1,23,25,2,11,11,1,42,2,12,8,5,1,1,1,1,1,14,4,2,4,3,3,4,4,4,5,3,2,1,5,3,4,4,4,5,3,3,5,4,5,5,2,94,77,94,0,1,0,0,I honestly don't know.,1,2018-06-13-02-14,2018-06-13-02-30,16
1,1,1,9.110082529,1,26,19,2,15,14,1,43,1,3,6,7,1,1,3,1,1,14,4,3,2,5,5,5,5,3,3,3,1,3,5,2,2,2,4,3,1,3,5,5,3,4,2,85,85,85,1,0,0,0,I think this study was about people's opinions,2,2018-06-08-17-10,2018-06-08-17-21,11
1,2,1,-6.114839,1,17,28,1,7,5,1,43,1,3,7,5,4,3,3,1,1,12,2,2,5,3,3,3,3,2,3,3,1,1,5,4,5,4,1,1,1,2,1,2,1,4,2,54,20,60,0,1,0,0,I am under the impression that this study was about current political attitudes in the current political climate.,3,2018-06-07-19-04,2018-06-07-19-25,21
2,1,1,-8.504112339,2,22,24,2,16,15,1,43,1,5,9,6,2,6,5,1,1,13,2,2,2,4,4,2,4,4,4,3,1,1,5,4,1,4,1,2,1,2,1,4,1,1,2,21,20,16,1,1,0,0,I think the purpose of the study was to determine a person's views on religion.,3,2018-06-21-20-01,2018-06-21-20-08,7
2,2,1,-1.613342606,1,15,18,2,15,16,2,45,1,3,7,6,2,2,5,1,1,9,3,2,5,3,1,3,2,3,3,3,2,4,3,4,2,3,2,2,1,3,3,2,4,4,2,26,35,30,0,0,0,1,I suppose they want to test our morality.  How we determine right from wrong and our beliefs in religion.   Questions like about abortion and homosexuality should have little to do with religion in my opinion,3,2018-06-22-03-46,2018-06-22-03-54,8
1,2,1,4.809281268,3,25,21,1,6,6,1,45,1,6,9,5,3,2,1,1,1,14,6,5,5,5,5,5,4,1,5,3,3,2,5,3,3,3,1,4,3,1,5,4,4,5,2,50,50,50,0,1,1,1,to get data on peoples religious and political beliefs,4,2018-05-29-20-24,2018-05-29-20-32,8
1,1,1,15.59428994,2,20,11,2,1,16,2,45,1,7,6,5,1,1,1,1,1,12,4,3,2,3,3,4,3,3,4,3,3,3,2,1,1,1,4,5,5,4,5,4,4,5,2,90,90,90,1,0,1,0,to determine the general mind set of the populace of this country.  How people feel about the youth of this country.,4,2018-06-09-17-25,2018-06-09-17-35,10
2,2,1,3.066743192,2,21,15,1,10,9,2,46,1,3,9,5,1,1,2,1,1,8,1,3,3,3,3,4,4,3,4,3,3,4,3,3,2,2,3,4,3,3,1,3,3,4,2,56,49,50,1,0,1,0,children's need their guidance of their improvement,4,2018-06-12-19-58,2018-06-12-20-08,10
1,2,1,-5.759657844,1,19,20,2,3,2,1,46,1,6,9,5,2,1,5,1,1,12,4,3,4,3,3,3,2,4,4,3,3,2,4,3,3,3,1,2,2,2,2,1,2,2,2,41,38,46,0,1,0,0,If a person's religious beliefs impact their political stances.,3,2018-05-30-15-42,2018-05-30-15-50,8
1,2,1,6.444598741,2,22,18,2,12,12,1,48,1,9,7,5,1,1,5,1,1,14,5,5,6,2,4,4,4,4,4,3,2,4,2,4,4,2,4,4,2,4,2,2,4,4,2,71,72,71,1,1,0,0,how religeon plays in to parenting and politics,3,2018-05-29-23-50,2018-05-29-23-56,6
2,1,1,16.66111827,2,28,10,1,11,12,2,48,1,11,9,7,1,1,1,1,1,14,6,5,6,4,4,5,5,5,5,3,2,5,2,1,1,1,5,4,5,5,5,3,5,5,2,95,90,98,1,0,1,0,Whether people of faith tend to conform to certain beliefs.,3,2018-05-30-19-42,2018-05-30-19-49,7
1,1,1,-6.510480715,1,23,20,2,9,10,1,49,2,2,9,7,2,1,5,1,1,14,5,5,6,4,2,4,3,5,5,3,1,2,3,3,2,3,2,3,2,2,2,2,2,2,2,10,9,11,0,1,0,0,I think you're looking for a link between religiosity and political views.,3,2018-06-22-03-38,2018-06-22-03-44,6
2,1,1,6.228116329,1,18,12,1,9,9,2,49,1,6,7,6,1,1,5,1,1,12,3,3,2,3,2,4,3,3,3,3,4,4,2,2,2,2,4,3,4,3,1,2,3,5,2,78,77,78,0,1,0,0,To see if people are religious and just how involved they are with religion in their life,3,2018-06-02-16-05,2018-06-02-16-17,12
2,2,1,-1.986735614,2,21,23,1,10,14,2,49,1,6,7,6,2,1,1,1,1,12,3,3,2,4,3,4,3,4,3,3,2,1,4,3,4,3,2,4,2,2,4,1,1,4,2,35,25,42,0,1,0,1,Religious and political perceptions? when presented the article how do we respond.,4,2018-05-30-00-09,2018-05-30-00-16,7
2,1,1,8.388386852,1,20,19,2,13,14,1,49,1,7,6,5,1,1,2,1,1,12,3,2,1,3,3,2,4,4,4,3,2,3,4,2,2,4,4,4,2,2,4,4,3,5,2,72,70,89,0,0,1,0,Opinions regarding current social issues in the USA,4,2018-06-08-18-36,2018-06-08-18-46,10
2,2,1,2.531599772,2,21,16,2,16,16,2,50,1,3,7,7,3,1,1,1,1,12,4,1,4,3,3,4,4,4,3,3,2,2,3,1,1,3,1,4,4,1,5,4,1,4,2,50,51,49,0,1,0,1,It was testing religious tolerance.,4,2018-06-21-18-31,2018-06-21-18-37,6
1,2,1,5.302065371,2,25,22,2,14,14,2,50,1,4,7,5,2,1,3,1,1,14,4,4,4,5,3,4,3,5,5,3,2,2,4,4,2,4,3,4,3,2,5,3,4,4,2,41,42,60,1,1,0,0,"I think that the purpose or the goal of this survey was to see our religious ideas and they correlate with many items like politics.~~~~Also, to try and understand how far Right or Left our religious practices swing.",4,2018-06-03-05-45,2018-06-03-06-05,20
2,2,1,10.99996227,2,30,16,1,13,11,2,50,2,5,7,5,4,1,1,1,1,14,5,6,6,5,5,5,5,5,5,3,4,2,4,2,2,2,1,5,5,4,5,5,5,5,2,76,70,6,0,0,1,1,im not sure,5,2018-06-12-18-52,2018-06-12-19-02,10
2,1,1,-9.506290935,1,26,23,1,16,15,1,50,1,6,9,5,2,1,3,1,1,14,5,2,4,4,3,4,5,5,5,3,1,3,4,4,3,4,2,2,2,3,1,1,1,2,2,3,4,1,0,1,0,0,"I'm not sure which question I should answer?  Indicating a research question under investigation which I'm not sure I found one, or describing what the purpose of the study was, which I think was finding out what people thought about the study results in the beginning of the survey.",2,2018-06-21-19-43,2018-06-21-19-53,10
1,1,1,-12.95280507,1,18,30,2,12,13,1,50,1,8,9,6,2,1,5,1,1,11,2,2,1,3,3,3,3,3,3,3,1,1,5,5,5,5,1,1,1,1,1,2,1,1,2,2,2,15,0,1,0,0,Attitudes towards religion in the US,2,2018-06-08-16-57,2018-06-08-17-15,18
