id,condition,duration,dem_gender,dem_age,dem_employment,dem_income,dem_education,dem_religion,dem_religion_12_TEXT,dem_religious,dem_party,dem_party_4_TEXT,dem_ethnicity,dem_ethnicity_8_TEXT,dem_marriage,dem_orientation,dem_orientation_4_TEXT,letter_timing_first_click,letter_timing_last_click,letter_timing_page_submit,letter_timing_click_count,pti_ii_religion,pti_ii_politics,pti_ii_gender,pti_ii_orientation,pti_ii_age,pti_ii_race,pti_ii_family,pti_ii_profession,pti_ii_other_label,pti_ii_other,pti_ii_rank_order_1,pti_ii_rank_order_2,pti_ii_rank_order_3,pti_ii_rank_order_4,pti_ii_rank_order_5,pti_ii_rank_order_6,pti_ii_rank_order_7,pti_ii_rank_order_8,pti_ii_rank_order_9,pti_1,pti_2,pti_3,pti_4,pti_5,pti_6,attention_check_1,pti_7,pti_8,pti_9,pti_10,pti_11,pti_12,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,attention_check_2,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,cm_1,cm_2,cm_3,cm_4,cm_5,crt_1,crt_2,crt_3,attention_check_crt,pol_att_01,pol_att_02,pol_att_03,pol_att_04,pol_att_05,pol_att_06,pol_att_07,pol_att_08,pol_att_09,pol_att_10,pol_att_11,Fake1_2,Fake1_RT_first_click,Fake1_RT_last_click,Fake1_RT_page_submit,Fake1_RT_click_count,Fake2_2,Fake2_RT_first_click,Fake2_RT_last_click,Fake2_RT_page_submit,Fake2_RT_click_count,Fake3_2,Fake3_RT_first_click,Fake3_RT_last_click,Fake3_RT_page_submit,Fake3_RT_click_count,Fake4_2,Fake4_RT_first_click,Fake4_RT_last_click,Fake4_RT_page_submit,Fake4_RT_click_count,Fake5_2,Fake5_RT_first_click,Fake5_RT_last_click,Fake5_RT_page_submit,Fake5_RT_click_count,Fake6_2,Fake6_RT_first_click,Fake6_RT_last_click,Fake6_RT_page_submit,Fake6_RT_click_count,Fake7_2,Fake7_RT_first_click,Fake7_RT_last_click,Fake7_RT_page_submit,Fake7_RT_click_count,Fake8_2,Fake8_RT_first_click,Fake8_RT_last_click,Fake8_RT_page_submit,Fake8_RT_click_count,Fake9_2,Fake9_RT_first_click,Fake9_RT_last_click,Fake9_RT_page_submit,Fake9_RT_click_count,Fake10_2,Fake10_RT_first_click,Fake10_RT_last_click,Fake10_RT_page_submit,Fake10_RT_click_count,Fake11_2,Fake11_RT_first_click,Fake11_RT_last_click,Fake11_RT_page_submit,Fake11_RT_click_count,Fake12_2,Fake12_RT_first_click,Fake12_RT_last_click,Fake12_RT_page_submit,Fake12_RT_click_count,Real1_2,Real1_RT_first_click,Real1_RT_last_click,Real1_RT_page_submit,Real1_RT_click_count,Real2_2,Real2_RT_first_click,Real2_RT_last_click,Real2_RT_page_submit,Real2_RT_click_count,Real3_2,Real3_RT_first_click,Real3_RT_last_click,Real3_RT_page_submit,Real3_RT_click_count,Real4_2,Real4_RT_first_click,Real4_RT_last_click,Real4_RT_page_submit,Real4_RT_click_count,Real5_2,Real5_RT_first_click,Real5_RT_last_click,Real5_RT_page_submit,Real5_RT_click_count,Real6_2,Real6_RT_first_click,Real6_RT_last_click,Real6_RT_page_submit,Real6_RT_click_count,Real7_2,Real7_RT_first_click,Real7_RT_last_click,Real7_RT_page_submit,Real7_RT_click_count,Real8_2,Real8_RT_first_click,Real8_RT_last_click,Real8_RT_page_submit,Real8_RT_click_count,Real9_2,Real9_RT_first_click,Real9_RT_last_click,Real9_RT_page_submit,Real9_RT_click_count,Real10_2,Real10_RT_first_click,Real10_RT_last_click,Real10_RT_page_submit,Real10_RT_click_count,Real11_2,Real11_RT_first_click,Real11_RT_last_click,Real11_RT_page_submit,Real11_RT_click_count,Real12_2,Real12_RT_first_click,Real12_RT_last_click,Real12_RT_page_submit,Real12_RT_click_count,pdiFirst,perceived_threat_to_identity_total,conspiracy_mentality_total,conservative_political_beliefs_total,need_for_closure_total,importance_of_identity_total,cognitive_reflection_test_total,belief_in_fake_news_total,belief_in_real_news_total
147,Religious Threat,1612,Male,18,A student,"$100,000 to $149,999","Some college credit, but less than 1 year",Protestant,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,187.333,187.333,188.401,1,5,4,2,4,1,1,5,4,N/A,7,2,6,7,8,5,3,1,4,9,2,1,2,1,5,5,7,4,3,2,2,2,2,4,5,3,6,2,4,6,6,6,6,2,5,3,4,1,5,10,11,9,7,8,$0.10,100 minutes,47,999,4,4,1,3,4,4,5,5,72,65,90,1,6.517,6.517,9.396,1,2,6.715,12.267,13.253,2,1,4.059,4.059,5.947,1,2,20.295,24.145,25.729,2,2,6.973,6.973,10.046,1,3,6.752,6.752,9,1,2,12.1,12.1,13.62,1,2,6.565,6.565,8.076,1,2,17.009,17.009,18.789,1,2,9.572,13.283,14.955,3,1,13.766,13.766,15.587,1,1,17.946,23.25,24.614,3,3,5.289,5.289,9.117,1,3,24.251,24.251,27.842,1,2,6.784,12.774,14.346,5,2,2.848,2.848,4.727,1,3,3.845,3.845,6.011,1,2,5.148,5.148,6.491,1,2,17.395,17.395,18.371,1,3,15.553,16.049,17.75,2,2,17.5,23.557,28.158,3,2,15.424,15.424,20.472,1,2,6.546,6.546,8.542,1,2,12.085,12.085,13.992,1,0,2.4,9,1.000105675,4.333333333,3.25,1,21,28
148,Religious Threat,1248,Female,19,A student,"$100,000 to $149,999","Some college credit, but less than 1 year",Catholic,NA,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,108.045,108.045,110.617,1,3,3,4,4,4,3,5,5,N/A,7,6,7,4,3,5,8,1,2,9,1,1,1,2,3,1,7,1,2,2,1,1,2,5,2,5,4,2,5,5,4,6,4,3,4,6,5,3,4,11,9,10,6,9,0.1,100 minutes,24,999,1,2,1,1,3,3,2,2,10,0,30,1,10.141,10.141,11.653,1,1,15.251,16.518,16.981,2,2,7.834,7.834,11.079,1,1,18.053,18.053,19.059,1,1,5.481,5.481,6.609,1,3,19.658,19.658,20.559,1,2,21.666,21.666,22.675,1,1,20,20,21.419,1,2,12.622,12.622,13.785,1,3,9.934,9.934,10.743,1,3,14.333,14.333,15.125,1,2,10.888,10.888,12.134,1,2,11.866,11.866,13.359,1,3,9.54,9.54,11.278,1,1,6.704,6.704,7.888,1,3,11.258,11.258,12.115,1,3,8.756,8.756,9.941,1,2,15.233,15.233,17.259,1,4,7.976,8.806,9.309,2,3,11.563,11.563,12.407,1,3,10.333,12.817,13.736,2,3,20.625,20.625,21.651,1,4,7.563,7.563,15.588,1,3,13.183,13.183,14.012,1,1,1.3,9,-0.86716963,4.466666667,3.875,0,22,34
149,Non-religious Threat,1655,Female,19,A student,"$60,000 to $69,999","Some college credit, but less than 1 year",Catholic,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,133.917,162.73,163.8,2,4,2,3,1,1,2,3,4,N/A,7,1,5,2,7,8,4,6,3,9,2,1,1,2,2,3,7,3,2,2,2,1,3,3,4,4,4,2,3,5,4,6,3,5,5,2,4,5,3,9,8,4,6,7,$0.10,100 minutes,24 days,999,3,4,1,4,5,3,3,5,75,70,60,2,8.644,9.069,10.075,2,2,23.059,23.059,24.039,1,3,5.46,5.46,6.377,1,3,15.4,15.4,16.338,1,2,9.431,9.431,10.743,1,4,7.872,7.872,8.781,1,2,10.6,18.954,20.041,2,2,31.05,31.05,32.614,1,3,21.352,21.352,22.399,1,2,8.2,8.2,10.843,1,3,8.412,8.412,9.569,1,2,11.529,11.529,12.704,1,2,9.339,10.685,11.8,2,3,13.412,13.412,14.388,1,1,22.156,22.156,23.214,1,2,5.49,5.49,6.523,1,3,6.381,6.381,7.825,1,4,7.028,7.028,8.048,1,4,10.141,10.141,11.037,1,3,19.863,19.863,23.78,1,3,15.199,15.644,17.474,2,3,9.358,9.358,10.655,1,1,19.087,19.087,20.104,1,3,21.275,21.275,26.816,1,0,2,6.8,0.731531496,4,2.5,0,30,32
150,Raelian Threat,892,Female,18,A student,"Less than $10,000","Some college credit, but less than 1 year",Catholic,NA,Yes,Democrat,NA,Hispanic or Latino,and 7,Never married,Heterosexual or straight,NA,101.514,128.332,129.596,2,1,2,4,4,1,2,4,3,N/A,7,5,1,3,2,7,4,8,6,9,2,5,5,4,7,7,7,6,3,6,2,6,2,3,3,6,5,1,4,6,5,6,3,4,5,6,4,5,4,10,10,11,6,11,.10 cents,100 minutes,24,999,2,4,1,4,2,2,1,1,60,19,61,1,2.677,2.984,4.191,2,1,2.659,2.659,5.943,1,1,1.71,2.927,3.19,2,1,6.404,6.404,8.004,1,1,9.433,9.433,10.183,1,1,3.404,3.799,4.817,2,2,6.495,6.495,13.738,1,2,4.689,20.891,21.118,7,1,5.883,6.536,7.651,2,2,10.737,12.271,12.525,3,4,5.352,5.907,6.29,2,1,4.426,4.426,7.137,1,3,2.82,2.82,3.996,1,4,4.014,4.498,4.852,2,4,2.807,6.3,7.268,4,3,8.331,8.331,9.083,1,4,2.499,2.499,3.613,1,4,4.381,4.381,5.479,1,3,5.687,5.687,8.84,1,4,2.478,3.002,3.446,2,4,3.412,3.927,4.806,2,1,8.725,8.725,9.488,1,3,2.983,6.021,6.673,4,2,12.094,12.094,13.361,1,1,4.2,9.6,-0.331481491,4.6,2.625,0,18,39
151,Raelian Threat,1137,Female,20,A student,"$100,000 to $149,999","Associate degree (for example: AA, AS)",Christian,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,251.628,252.577,253.764,2,4,3,3,1,1,2,2,3,N/A,7,1,3,5,6,7,4,8,2,9,2,2,2,3,2,2,6,2,2,2,1,2,2,4,4,4,4,2,2,4,3,6,2,3,3,4,4,4,2,9,7,9,7,5,$0.10,100 minutes,47 Days,"""999""",2,3,1,2,4,2,4,1,30,40,34,1,3.469,3.469,4.584,1,1,4.762,4.762,6.709,1,2,3.655,3.655,4.443,1,2,13.738,14.689,16.155,3,1,6.248,7.158,8.197,3,3,5.417,5.417,6.702,1,1,6.511,6.511,7.914,1,1,13.327,13.327,14.523,1,1,7.074,7.826,9.695,2,3,5.822,5.822,6.991,1,1,5.823,5.823,7.028,1,1,6.981,7.822,8.879,2,3,3.967,3.967,5.35,1,3,6.126,6.81,8.185,2,3,4.406,4.406,5.632,1,3,6.207,6.207,7.499,1,2,10.742,10.742,12.126,1,4,4.538,5.606,6.13,2,3,4.878,6.242,7.615,2,3,5.608,5.608,6.824,1,3,5.789,9.243,10.258,3,2,16.291,17.623,18.83,3,3,6.34,6.34,7.357,1,3,14.187,14.187,15.887,1,0,2,7.4,-0.331832221,3.2,2.375,1,18,35
152,Non-religious Threat,1235,Male,19,A student,"$90,000 to $99,999","Some college credit, but less than 1 year",Christian,NA,No,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,99.016,145.242,146.649,4,3,3,4,4,4,4,4,3,n/a,7,8,4,1,2,3,5,6,7,9,5,2,2,6,5,6,7,2,6,2,2,2,2,6,4,5,5,3,6,2,3,6,4,5,5,5,6,5,5,7,5,7,4,3,10 cents,100 minutes,24 days,999,2,3,2,3,3,4,2,4,70,80,80,1,4.71,6.571,7.052,3,2,6.711,6.711,9.985,1,1,6.295,7.463,9.639,2,2,23.303,28.065,30.161,2,2,14.281,14.281,15.093,1,3,7.48,7.944,9.251,2,2,7.586,7.586,8.782,1,3,9.165,9.165,11.3,1,3,23.758,23.758,24.982,1,2,4.508,7.072,7.873,3,2,9.678,10.142,11.362,2,2,10.905,10.905,12.942,1,3,11.103,13.17,13.645,3,3,9.183,9.183,11.248,1,3,5.912,7.813,8.819,2,3,9.031,9.031,10.049,1,2,3.641,3.641,5.776,1,3,14.909,14.909,15.81,1,3,7.54,7.54,9.014,1,2,7.496,7.496,8.279,1,3,10.232,11.767,12.359,3,2,5.562,5.562,6.698,1,3,4.672,4.672,5.936,1,3,7.469,7.469,8.33,1,1,3.5,5.2,0.478042425,4.8,3.625,0,25,33
153,Religious Threat,1275,Female,23,Employed for wages,"Less than $10,000","1 or more years of college, no degree",Christian,NA,Yes,Democrat,NA,Black or African American,NA,Never married,Heterosexual or straight,NA,182.786,182.786,185.17,1,5,4,4,4,4,6,6,4,N/A,7,1,5,7,8,6,3,2,4,9,6,1,2,7,7,7,7,6,5,2,1,7,6,4,6,4,6,3,4,4,5,6,6,3,6,4,4,3,4,9,9,8,6,7,0.1,50,24,999,1,4,2,3,1,3,1,2,80,70,70,1,5.734,6.467,7.168,2,2,15.13,15.13,16.532,1,1,3.459,3.459,5.1,1,2,21.725,21.725,22.419,1,1,9.174,10.204,10.566,2,2,13.572,13.572,15.045,1,2,10.332,10.332,12.516,1,2,7.627,7.627,8.881,1,2,7.046,9.218,10.593,2,2,6.857,6.857,7.606,1,2,9.557,11.646,11.94,3,2,13.875,13.875,14.862,1,3,14.803,16.326,16.758,2,3,11.947,11.947,12.835,1,2,6.387,6.387,7.383,1,3,9.405,9.405,10.226,1,3,10.513,10.513,11.42,1,3,5.497,5.497,6.127,1,3,13.129,13.129,14.504,1,3,6.98,7.741,8.492,3,3,18.608,18.608,19.436,1,2,5.684,5.684,6.457,1,3,8.242,8.934,9.636,2,2,16.835,16.835,17.853,1,1,4.8,7.8,0.012530903,4.266666667,4.625,0,21,33
154,Religious Threat,1633,Male,22,Employed for wages,"$70,000 to $79,999","1 or more years of college, no degree",Jewish,NA,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,349.273,367.387,369.033,3,2,2,4,4,4,3,3,5,N/A,1,8,6,5,4,2,7,3,1,9,1,1,4,1,2,1,1,3,1,2,2,2,1,4,4,4,2,1,4,4,3,1,1,1,3,3,5,3,2,11,7,4,8,6,$0.10,5,47,999,1,2,1,2,1,3,1,3,30,30,30,1,6.454,10.255,12.211,3,1,5.434,5.434,8.006,1,1,6.385,6.385,8.544,1,1,10.659,10.659,12.298,1,1,5.652,5.652,7.768,1,3,7.31,7.31,13.543,1,2,26.554,26.554,28.996,1,4,17.747,17.747,19.274,1,3,21.108,21.108,24.738,1,2,7.341,7.341,8.815,1,2,17.924,17.924,19.278,1,2,10.077,10.077,23.963,1,3,9.485,9.485,10.462,1,3,22.67,22.67,23.953,1,4,4.873,4.873,7.631,1,4,15.562,15.562,19.747,1,3,10.066,10.066,11.5,1,1,8.402,12.775,15.15,2,4,17.907,17.907,19.271,1,4,6.679,6.679,8.092,1,3,11.28,11.28,12.906,1,3,10.243,10.243,13.388,1,3,8.226,9.444,10.361,2,4,6.318,7.667,8.268,2,0,1.7,7.2,-0.752168937,3.2,3.375,2,23,39
155,Raelian Threat,1178,Female,19,A student,"$70,000 to $79,999","1 or more years of college, no degree",Catholic,NA,Yes,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,46.27,183.677,185.191,5,4,2,5,5,3,3,5,5,N/A,7,3,8,4,5,7,6,1,2,9,2,2,2,2,3,2,7,3,2,4,2,2,3,5,6,5,5,4,5,4,4,6,6,4,5,5,5,3,5,10,8,7,7,8,$0.10,100,24,999,2,4,2,3,4,3,3,4,50,60,70,1,5.797,5.797,9.1,1,3,6.944,21.831,24.641,3,1,4.187,4.187,6.125,1,2,13.066,15.075,15.964,3,1,5.527,5.527,7.038,1,3,5.146,5.146,6.56,1,1,5.136,5.136,7.046,1,2,16.524,17.177,18.424,2,4,14.019,15.156,17.924,2,2,7.398,7.398,8.296,1,2,8.183,9.035,10.141,2,1,10.764,10.764,11.861,1,1,7.977,7.977,9.044,1,2,6.794,6.794,7.684,1,3,4.117,6.641,7.163,4,3,10.472,10.472,11.461,1,2,5.409,9.428,14.79,3,2,3.516,3.516,4.464,1,3,7.184,7.511,8.538,2,3,7.033,7.033,7.853,1,2,13.48,13.48,14.417,1,3,8.14,8.14,15.441,1,2,9.558,9.558,10.515,1,2,8.436,8.436,9.871,1,0,2.2,8,0.460869395,4.6,4,0,23,28
156,Non-religious Threat,1421,Female,18,Employed for wages,"$70,000 to $79,999","Some college credit, but less than 1 year",Christian,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,237.536,237.536,239.527,1,3,2,3,3,1,1,2,2,N/A,7,2,1,3,4,6,8,5,7,9,2,2,2,1,5,2,7,1,1,1,1,4,1,4,3,4,3,2,4,5,5,6,3,3,3,4,4,2,4,7,5,7,4,5,$0.10,100 minutes,47 days,999,2,4,1,3,5,3,4,4,85,80,90,3,13.467,28.169,29.64,2,2,8.333,8.333,9.638,1,3,4.711,7.563,8.227,2,2,7.062,7.062,8.19,1,2,7.242,7.242,8.051,1,3,4.188,4.188,7.82,1,1,6.741,6.741,7.905,1,3,10.698,10.698,15.113,1,1,5.603,5.603,7.73,1,3,10.158,10.158,11.274,1,1,16.668,16.668,19.39,1,2,17.584,17.584,18.487,1,3,4.58,5.559,6.249,2,3,5.303,5.303,6.318,1,2,13.583,13.583,14.579,1,3,11.684,11.684,12.594,1,3,3.591,3.591,4.273,1,4,3.149,5.555,6.92,2,2,6.358,6.358,7.028,1,3,3.906,3.906,4.873,1,2,5.178,6.941,9.504,2,2,12.329,12.329,13.217,1,4,6.446,6.446,15.531,1,3,7.19,7.19,8.613,1,1,1.7,5.6,0.777561971,3.666666667,2.125,1,26,34
157,Religious Threat,1176,Female,18,A student,"Less than $10,000","Some college credit, but less than 1 year",Christian,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,155.982,155.982,157.447,1,5,4,4,1,1,1,6,6,N/A,7,1,5,6,4,7,8,3,2,9,1,1,4,1,7,7,7,1,2,1,1,1,6,6,5,5,2,3,6,6,6,6,5,4,3,5,3,2,6,11,9,10,2,8,0.1,100,24,999,2,4,1,5,5,3,3,5,75,50,100,1,4.739,4.739,5.975,1,4,7.736,7.736,9.347,1,3,6.015,8.003,8.963,2,1,9.705,11.349,13.237,2,1,5.372,5.372,6.837,1,2,6.938,6.938,8.264,1,1,9.673,9.673,11.225,1,1,10.936,10.936,12.066,1,1,12.458,12.458,15.07,1,1,13.951,13.951,15.157,1,1,4.896,4.896,8.218,1,1,6.966,6.966,9.139,1,2,22.494,22.494,23.523,1,3,8.222,8.222,13.08,1,3,6.187,6.612,7.678,2,3,4.962,5.477,6.415,2,4,5.072,5.072,6.643,1,4,5.968,7.413,9.175,2,2,7.076,7.076,8.123,1,2,5.777,5.777,8.161,1,1,7.572,7.572,8.826,1,1,14.22,14.22,15.792,1,2,8.552,8.552,9.955,1,3,11.799,11.799,13.171,1,1,2.5,8,0.829067072,4.6,3.5,0,18,30
158,Raelian Threat,1396,Female,18,Employed for wages,"$100,000 to $149,999","Some college credit, but less than 1 year",Agnostic,NA,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,235.765,235.765,239.214,1,3,5,4,4,4,4,5,5,N/A,7,8,3,4,5,6,7,1,2,9,3,5,6,3,6,5,7,5,5,5,5,3,5,6,6,5,4,5,5,6,4,6,4,5,5,6,5,4,6,8,8,5,7,9,0.1,100 minutes,24,999,1,3,1,2,4,3,2,3,20,25,35,1,3.951,4.426,5.552,2,1,4.445,4.445,8.957,1,2,8.168,8.168,18.135,1,1,4.635,4.635,13.429,1,1,4.482,4.482,5.73,1,3,5.319,5.319,7.035,1,1,6.97,9.068,10.086,2,1,5.152,5.152,6.483,1,1,7.731,7.731,26.485,1,3,5.429,5.429,6.401,1,1,4.227,5.662,6.794,2,1,5.402,5.402,6.645,1,2,3.81,3.81,4.997,1,3,5.132,10.971,11.873,2,3,5.373,5.373,6.956,1,2,4.183,4.183,12.71,1,3,3.44,3.44,7.387,1,3,7.216,7.216,10.866,1,3,7.654,8.16,11.677,2,4,4.346,6.205,7.216,2,3,3.519,4.718,13.889,2,2,9.671,9.671,21.684,1,3,5.249,5.249,6.453,1,2,6.537,13.04,15.499,2,0,4.5,7.4,-0.407332005,5.066666667,4.25,0,17,33
159,Non-religious Threat,1465,Male,18,A student,"$90,000 to $99,999","Some college credit, but less than 1 year",Christian,NA,No,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,233.102,233.892,235.528,3,3,4,4,4,2,3,4,4,n/a,7,3,1,5,6,7,8,2,4,9,2,1,4,2,3,2,1,2,2,2,2,3,2,4,4,4,4,4,4,4,4,1,3,3,5,5,4,3,3,7,10,7,7,7,$0.05,5 minutes,47 days,999,3,3,3,3,5,3,4,4,85,70,75,2,17.984,17.984,19.664,1,3,9.007,9.007,11.557,1,3,9.31,9.31,10.387,1,3,15.044,15.044,19.218,1,3,13.218,13.218,14.049,1,3,11.031,11.712,12.685,2,3,21.938,22.552,23.304,2,2,25.63,25.63,26.736,1,1,7.747,7.747,15.568,1,1,9.951,9.951,11.488,1,2,8.589,8.589,9.693,1,1,8.219,8.673,9.782,2,3,11.261,11.261,12.09,1,4,6.839,6.839,12.356,1,4,6.117,6.117,8.082,1,3,9.805,9.805,11.018,1,4,6.873,6.873,8.579,1,3,10.805,10.805,11.677,1,3,16.637,16.637,17.716,1,2,38.001,38.001,39.15,1,1,11.278,11.278,13.148,1,2,14.604,14.604,30.879,1,2,15.17,15.17,16.247,1,2,16.434,16.434,17.594,1,0,2.2,7.6,0.866142391,3.6,3.5,3,27,33
160,Religious Threat,3191,Female,18,Employed for wages,"$100,000 to $149,999","Some college credit, but less than 1 year",Other,I don't believe in organized religion- not Atheist,No,Democrat,NA,White,NA,Never married,Bisexual,NA,291.06,477.744,479.092,2,2,4,5,4,3,2,5,5,N/A,7,8,5,3,2,6,7,1,4,9,2,1,5,2,2,2,1,2,2,2,1,5,5,4,4,5,4,2,3,4,3,6,4,3,3,4,4,2,4,9,9,9,6,7,.10 cents,500 minutes,24 days,999,5,3,1,1,2,2,3,2,1,1,1,2,7.023,7.023,7.925,1,2,5.725,5.725,6.674,1,3,6.263,6.263,6.883,1,3,19.294,19.294,20.259,1,2,20.148,20.148,21.68,1,2,7.973,7.973,8.862,1,1,24.542,24.542,26.82,1,2,7.153,7.153,7.909,1,3,22.945,23.757,24.099,2,2,20.651,20.651,22.154,1,3,23.554,23.554,28.56,1,2,7.969,7.969,9.021,1,2,17.089,17.089,17.751,1,2,34.474,37.463,39.042,3,2,13.2,13.2,14.792,1,2,11.547,11.547,12.646,1,3,8.34,8.34,9.977,1,3,19.017,20.641,22.065,2,3,12.912,12.912,13.634,1,3,15.355,17.215,17.697,3,2,15.455,15.455,16.65,1,3,16.964,16.964,17.885,1,3,23.701,23.701,24.887,1,2,17.358,18.705,18.995,3,1,2.7,8,-0.72326406,3.466666667,3.75,0,27,30
161,Raelian Threat,1168,Female,20,A student,"$10,000 to $19,999","1 or more years of college, no degree",Protestant,NA,Yes,Democrat,NA,Asian,NA,Never married,Heterosexual or straight,NA,188.42,188.42,189.876,1,4,1,5,5,4,5,6,5,N/A,7,4,8,5,6,7,2,1,3,9,5,5,5,3,5,2,7,5,3,5,2,5,6,5,3,6,6,2,6,6,5,6,5,6,6,6,6,3,5,10,8,9,7,9,.55 cents,1 hour and 40 minutes,6,999,4,5,1,3,5,2,4,4,35,50,20,1,4.181,6.191,9.829,2,2,14.938,16.403,17.876,2,2,3.112,3.112,4.942,1,2,10.384,10.384,11.461,1,1,7.266,7.266,8.255,1,3,9.966,9.966,11.032,1,2,15.537,16.926,18.936,4,3,30.346,30.346,31.801,1,2,14.074,17.39,18.397,2,3,4.334,4.334,5.075,1,2,4.756,4.756,6.237,1,1,10.938,10.938,13.022,1,2,9.478,9.478,10.546,1,2,16.382,16.382,17.558,1,3,4.427,4.427,5.277,1,3,10.224,10.224,11.036,1,3,5.852,5.852,7.011,1,1,12.228,12.228,14.086,1,4,7.554,7.554,8.503,1,3,17.332,17.332,18.195,1,2,29.463,29.463,30.881,1,4,7.055,8.025,8.794,2,3,15.368,16.793,17.366,2,3,21.848,21.848,22.917,1,1,4.1,8.6,0.369568146,5.333333333,4.375,0,24,33
162,Non-religious Threat,938,Male,21,Employed for wages,"$40,000 to $49,999","1 or more years of college, no degree",Christian,NA,No,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,29.098,129.069,131.019,2,2,2,4,1,2,1,5,5,N/A,7,6,4,3,7,5,8,2,1,9,3,1,6,5,5,6,1,7,6,2,2,6,6,2,3,3,3,1,2,4,1,6,1,1,2,3,3,2,2,10,10,7,4,9,0.1,100,47,999,2,2,1,1,4,4,5,3,60,40,80,1,3.269,3.269,4.305,1,1,2.862,2.862,4.188,1,2,4.62,7.599,8.745,2,1,9.74,10.324,11.419,2,1,5.056,5.056,6.141,1,4,3.029,4.157,5.532,2,2,9.663,10.187,14.756,2,1,7.691,7.691,8.781,1,1,5.534,16.223,17.456,3,2,10.511,10.511,13.042,1,1,7.537,9.664,10.78,5,1,3.737,4.548,6.578,2,3,5.259,5.981,8.023,2,4,9.294,9.997,10.737,2,3,4.264,4.264,5.578,1,3,19.49,19.49,21.241,1,4,4.344,4.344,5.661,1,3,2.902,2.902,3.752,1,3,3.542,5.719,6.541,2,2,3.338,3.338,4.257,1,2,12.091,12.091,13.178,1,1,6.199,6.199,7.938,1,2,4.236,4.236,5.036,1,4,11.951,14.376,15.106,3,0,4.8,8,0.197818214,2.666666667,2.75,1,18,34
163,Religious Threat,1199,Female,18,A student,"$80,000 to $89,999",High school graduate - high school diploma or the equivalent (for example: GED),Catholic,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,204.353,204.353,205.877,1,4,2,4,4,3,2,5,5,N/A,7,1,6,5,4,8,7,2,3,9,2,2,3,2,3,5,7,3,3,3,2,2,2,3,4,2,5,4,4,6,4,6,4,3,3,2,3,3,4,9,9,5,4,5,$0.10,100 minutes,47,999,2,4,1,3,2,4,2,3,39,39,50,1,3.821,3.821,5.473,1,2,9.142,18.676,21.858,2,1,5.175,5.175,7.56,1,1,9.322,9.322,11.704,1,2,4.326,7.909,8.709,3,2,7.88,7.88,9.254,1,1,5.679,5.679,7.249,1,1,7.622,7.622,11.026,1,1,5.971,6.782,14.123,2,2,3.581,3.581,4.609,1,1,10.761,10.761,12.373,1,2,5.996,7.49,8.269,2,2,6.187,6.663,7.879,2,2,8.966,9.847,10.417,2,3,5.052,5.052,5.892,1,2,12.744,14.099,15.366,2,2,8.597,10.269,11.348,2,1,4.697,6.36,6.754,4,2,4.749,7.194,8.174,4,3,7.113,7.113,8.607,1,2,7.711,8.394,9.571,2,1,1.637,9.515,11.224,3,2,5.568,8.359,8.951,3,2,8.3,12.358,13.118,4,0,2.6,6.4,-0.032345757,3.733333333,3.625,1,17,24
164,Raelian Threat,1088,Female,18,A student,"$100,000 to $149,999","Some college credit, but less than 1 year",Catholic,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,15.754,134.911,135.682,4,6,4,5,4,4,4,6,4,N/A,7,2,4,5,6,7,8,1,3,9,1,1,1,1,3,2,7,2,1,1,1,2,1,4,5,4,4,4,4,5,4,6,4,3,4,3,4,3,4,7,3,5,2,3,$0.10,100,47,999,4,5,2,4,5,3,3,5,65,65,70,2,6.351,6.351,7.772,1,2,4.165,4.165,5.685,1,1,10.622,11.127,11.898,2,2,7.896,7.896,9.421,1,3,10.19,10.19,11.077,1,2,2.5,2.5,3.988,1,2,11.658,11.658,14.595,1,2,13.172,13.172,14.161,1,2,7.409,7.409,8.111,1,2,11.491,13.134,14.142,2,2,7.819,7.819,8.904,1,3,6.215,6.215,7.203,1,3,9.546,9.546,10.355,1,3,5.226,5.226,6.213,1,4,4.905,4.905,5.526,1,3,6.276,6.276,7.065,1,3,13.295,13.295,14.261,1,3,5.784,5.784,6.773,1,2,11.814,11.814,12.625,1,3,4.025,4.025,5.032,1,2,9.311,10.222,11.121,2,2,10.685,10.685,11.593,1,3,7.71,11.617,12.341,3,2,10.913,10.913,11.763,1,1,1.3,4,0.978766321,3.866666667,4.625,1,25,33
